profile_name,likely_faculty,total_citations,papers,first_year,top_venue,scholar_profile
Jean-Claude Teboul,yes,754,28,1988,"Group communication in context: Studies of natural groups, 2",https://scholar.google.com/citations?user=BDJoFXcAAAAJ&hl=en
Ray W. Coye,yes,752,19,1982,International Journal of Operations & Production Management ,https://scholar.google.com/citations?user=WdsNgv0AAAAJ&hl=en
Rajul Jain,yes,735,24,2009,University of Florida,https://scholar.google.com/citations?user=_VTA2iAAAAAJ&hl=en
Gavin S. Lew,yes,733,100,1993,AI and UX: Why Artificial Intelligence Needs User Experience,https://scholar.google.com/citations?user=n5p3FfwAAAAJ&hl=en
Tharun Kumar Reddy Male,yes,699,52,2014,IEEE Transactions on Emerging Topics in Computational Intell,https://scholar.google.com/citations?user=4h1D_rUAAAAJ&hl=en
Robert Rotenberg,yes,697,65,1968,(No Title),https://scholar.google.com/citations?user=dnDDxWgAAAAJ&hl=en
"Eugene L. Zdziarski II, Ph.D.",yes,692,21,1998,"Campus crisis management: A comprehensive guide to planning,",https://scholar.google.com/citations?user=urYlf-0AAAAJ&hl=en
"Kelly Richmond Pope, Ph.D., CPA",yes,685,23,2001,"University Libraries, Virginia Polytechnic Institute and Sta",https://scholar.google.com/citations?user=7KymiGEAAAAJ&hl=en
Ellen K Schaal,yes,664,27,2005,"2014 GSA Annual Meeting in Vancouver, British Columbia",https://scholar.google.com/citations?user=9VS1E9YAAAAJ&hl=en
"Richard B. Schultz, Ph.D., GISP, CPG",yes,652,33,1988,"Wichita State University, Department of Geology",https://scholar.google.com/citations?user=oklO9ZYAAAAJ&hl=en
Mingqi Li,yes,651,28,2017,"Journal of Well-Being Assessment 1 (1), 49-56",https://scholar.google.com/citations?user=HP76EnQAAAAJ&hl=en
Adam Czauderna,yes,647,16,2007,Proceedings of the 6th International Workshop on Traceabilit,https://scholar.google.com/citations?user=F4rTrxUAAAAJ&hl=en
Janise Hurtig,yes,582,55,1986,"Coming of Age in Times of Crisis: Youth, Schooling, and Patr",https://scholar.google.com/citations?user=aqriiNMAAAAJ&hl=en
Howard Rosing,yes,549,53,2007,Annual conference of the International Association for Resea,https://scholar.google.com/citations?user=TmgLxh4AAAAJ&hl=en
Ruth Gannon-Cook,yes,524,67,1997,Society for Information Technology & Teacher Education Inter,https://scholar.google.com/citations?user=NrIlD8gAAAAJ&hl=en
Craig L McBride,yes,519,119,1993,International Journal for Cross-Disciplinary Subjects in Edu,https://scholar.google.com/citations?user=hoXBAlsAAAAJ&hl=en
Jacqueline Kelly-McHale,yes,517,16,2007,Proceedings of the 5th International Symposium on the Sociol,https://scholar.google.com/citations?user=4ZJULaMAAAAJ&hl=en
"Karen Larimer, PhD, ACNP-BC, FAHA",yes,511,32,2008,"Dermatologic surgery 34, S40-S47",https://scholar.google.com/citations?user=B-zdQN0AAAAJ&hl=en
Christopher Adair,yes,504,10,2011,"Negotiation excellence: Successful deal making, 195-210",https://scholar.google.com/citations?user=cbuy-jYAAAAJ&hl=en
Doris Carmen Rusch,yes,472,37,2005,Ghrebh-revista brasileira de ciencias da communicacao e da c,https://scholar.google.com/citations?user=XqY4x08AAAAJ&hl=en
Kay Read,yes,463,33,1986,"The journal of religion 73 (1), 138-139",https://scholar.google.com/citations?user=4E7jaMMAAAAJ&hl=en
John Rogers,yes,460,22,1995,University of Chicago,https://scholar.google.com/citations?user=I6AbhZ4AAAAJ&hl=en
tom schimoler,yes,454,14,2009,International Conference on Electronic Commerce and Web Tech,https://scholar.google.com/citations?user=EXSVdWkAAAAJ&hl=en
Kelli Marshall,yes,441,32,1985,Bright Lights Film Journal,https://scholar.google.com/citations?user=vJ4J0KQAAAAJ&hl=en
Yele Adelakun,yes,441,67,1993,Capacity Building for IT in Education in Developing Countrie,https://scholar.google.com/citations?user=qAjiE48AAAAJ&hl=en
Jessa Dickinson,yes,432,18,2016,2016 Research on Equity and Sustained Participation in Engin,https://scholar.google.com/citations?user=bS3kmFkAAAAJ&hl=en
Lidia Monjaras-Gaytan,yes,424,25,2016,"Journal of child sexual abuse 25 (5), 524-537",https://scholar.google.com/citations?user=lYUqZjwAAAAJ&hl=en
"Maya Steel (Miyairi), PhD",yes,418,24,2011,APHA 2017 Annual Meeting & Expo (Nov. 4-Nov. 8),https://scholar.google.com/citations?user=39R8qdUAAAAJ&hl=en
Adam K Gehr Jr,yes,409,22,1973,The Ohio State University,https://scholar.google.com/citations?user=9IIjvYwAAAAJ&hl=en
Ilyas Ustun,yes,390,34,2009,Proceedings of the 2009 Summer Computer Simulation Conferenc,https://scholar.google.com/citations?user=3fvIh6QAAAAJ&hl=en
Ravneet Kaur,yes,379,16,2012,Metallosurfactants: From Fundamentals to Catalytic and Biome,https://scholar.google.com/citations?user=-vZpXX8AAAAJ&hl=en
Danielle Sandra Vaclavik,yes,357,16,2016,DePaul University,https://scholar.google.com/citations?user=jfBZV_MAAAAJ&hl=en
behice ece ilhan,yes,353,13,2004,ACR North American Advances,https://scholar.google.com/citations?user=e9jTq4oAAAAJ&hl=en
Gabriele Strohschen,yes,335,60,2000,"Human Performance Models Revealed in the Global Context, 45",https://scholar.google.com/citations?user=gM7ClbEAAAAJ&hl=en
Hung-Chih Ku,yes,325,13,2012,"BMC medical genetics 13 (1), 113",https://scholar.google.com/citations?user=hMmW_CYAAAAJ&hl=en
Shaun Bhatia,yes,325,16,2014,"Prevention science 15 (4), 437-447",https://scholar.google.com/citations?user=o6IW9akAAAAJ&hl=en
Hafiz Khawar Hussain,no,3251,46,2022,International Journal of Multidisciplinary Sciences and Arts,https://scholar.google.com/citations?user=fAyWny8AAAAJ&hl=en
Marc Lukasik,no,1554,4,2009,DePaul University,https://scholar.google.com/citations?user=b2A_GAwAAAAJ&hl=en
